Date,Open,High,Low,Close,Volume,Adj Close
2014-03-06,36.25,36.61,35.75,35.86,3099300,35.69
2014-03-05,36.10,36.23,35.51,35.68,1928100,35.5108
2014-03-04,34.63,36.08,34.62,35.93,2588500,35.7596
2014-03-03,34.69,34.69,34.11,34.46,1885700,34.2966
2014-02-28,34.60,35.20,33.75,34.75,3343200,34.5852
2014-02-27,34.45,35.30,34.12,34.31,2191900,34.1473
2014-02-26,34.62,35.08,33.83,34.21,2673200,34.0478
2014-02-25,35.52,35.52,34.50,34.70,1825800,34.5355
2014-02-24,34.83,36.00,34.82,35.70,2553700,35.5307
2014-02-21,34.11,35.10,34.01,35.01,1970400,34.844
2014-02-20,34.34,35.00,33.65,33.73,1703800,33.5701
2014-02-19,34.82,35.13,34.10,34.34,1598300,34.1772
2014-02-18,35.77,35.83,34.85,34.99,1203400,34.8241
2014-02-17,35.80,36.07,35.60,35.77,269400,35.6004
2014-02-14,35.21,36.10,34.65,35.75,2509300,35.5805
2014-02-13,35.01,35.20,34.62,35.04,3854500,34.8739
2014-02-12,35.22,35.70,34.62,35.50,2855000,35.3317
2014-02-11,34.21,35.37,34.21,35.17,3504700,35.0033
2014-02-10,35.51,35.51,34.21,34.28,1441200,34.1175
2014-02-07,35.40,35.70,35.25,35.40,2092300,35.2322
2014-02-06,35.40,35.70,34.81,35.30,3704200,35.1326
2014-02-05,34.48,35.42,34.11,34.62,1719700,34.4559
2014-02-04,34.61,35.35,34.40,34.53,2437900,34.3663
2014-02-03,35.53,35.53,35.53,35.53,000,35.3615
2014-01-31,35.26,35.69,34.80,35.53,2820600,35.3615
2014-01-30,34.77,35.50,34.24,35.45,2704700,35.2819
2014-01-29,34.16,34.68,33.85,34.12,1931300,33.9582
2014-01-28,35.29,35.29,34.05,34.31,3381600,34.1473
2014-01-27,34.74,35.56,33.80,35.28,2964000,35.1127
2014-01-24,34.50,34.85,33.65,34.57,7894500,34.4061
2014-01-23,34.79,35.00,34.40,34.77,5858100,34.6051
2014-01-22,35.25,35.57,34.42,34.79,5520300,34.6251
2014-01-21,36.24,36.49,35.00,35.21,2998700,35.0431
2014-01-20,36.10,36.38,36.10,36.26,380900,36.0881
2014-01-17,36.80,36.80,36.02,36.16,3318900,35.9886
2014-01-16,36.93,37.04,36.40,36.96,1617700,36.7848
2014-01-15,37.00,37.28,36.76,36.93,2612400,36.7549
2014-01-14,36.70,36.98,36.51,36.85,1635600,36.6753
2014-01-13,36.79,37.05,36.41,36.66,2285400,36.4862
2014-01-10,36.47,37.08,36.30,36.68,4522300,36.5061
2014-01-09,37.24,37.47,36.18,36.26,4541600,36.0881
2014-01-08,38.01,38.33,37.00,37.05,5156400,36.8743
2014-01-07,38.50,38.73,38.02,38.19,2398300,38.0089
2014-01-06,38.60,39.18,38.50,38.63,1915300,38.4468
2014-01-03,39.00,39.03,38.11,38.59,2105700,38.407
2014-01-02,40.00,40.35,38.69,38.96,1465300,38.7753
2014-01-01,40.20,40.20,40.20,40.20,000,40.0094
2013-12-31,40.00,40.35,39.51,40.20,1121500,40.0094
2013-12-30,39.42,40.49,39.42,40.42,5517200,40.2284
2013-12-27,39.42,39.74,39.18,39.61,2761500,39.4222
2013-12-26,39.09,39.45,39.09,39.21,1360000,39.0241
2013-12-25,39.04,39.04,39.04,39.04,000,38.8549
2013-12-24,38.75,39.24,38.69,39.04,8120900,38.8549
2013-12-23,38.07,39.04,38.07,38.69,1598100,38.5066
2013-12-20,39.00,39.40,38.09,38.55,6980800,38.3672
2013-12-19,38.15,39.20,38.15,38.67,1331900,38.4867
2013-12-18,38.05,39.20,37.85,38.50,5165100,38.3175
2013-12-17,37.98,38.38,37.90,38.00,2768700,37.8198
2013-12-16,38.30,38.75,37.95,38.12,5215700,37.9393
2013-12-13,39.75,39.75,38.30,38.56,4034900,38.3772
2013-12-12,39.67,39.67,39.67,39.67,000,39.4819
2013-12-11,40.67,40.67,39.50,39.67,3991900,39.4819
2013-12-10,40.85,41.02,40.25,40.48,2470700,40.2881
2013-12-09,40.57,41.49,40.57,41.06,2130800,40.8653
2013-12-06,40.51,41.40,40.51,40.94,2102200,40.7459
2013-12-05,40.41,41.25,40.41,40.56,1740300,40.3677
2013-12-04,40.11,40.70,39.77,40.61,1997400,40.4175
2013-12-03,41.17,41.17,40.10,40.24,1761200,40.0492
2013-12-02,40.61,41.39,40.61,41.06,2227700,40.8653
